key,english_default,example_usage_files,contextual_meaning
week,Week,lib/repository/matches_repository.dart;lib/widgets/match_detail/homeandawayTeamScore.dart,"Used in `matches_repository.dart` to construct the round string (e.g., 'Week 17') for displaying match fixtures. Used in `homeandawayTeamScore.dart` to display the week in which a match event occurred."
groupStage,Group Stage,lib/repository/matches_repository.dart,"Used in `matches_repository.dart` to construct the round string for group stage matches."
leg,Leg,lib/repository/matches_repository.dart,"Used in `matches_repository.dart` to construct the round string for legs of a match (e.g., '1st Leg')."
qualifying,Qualifying,lib/repository/matches_repository.dart,"Used in `matches_repository.dart` to construct the round string for qualifying matches."
playOff,Play-off,lib/repository/matches_repository.dart,"Used in `matches_repository.dart` to construct the round string for play-off matches."
cleanSheet,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use to display clean sheet statistics."
head2head,Head to Head,lib/widgets/match_detail/head_to_head.dart,"Used as the title for the head-to-head statistics section in the `head_to_head.dart` widget."
notification_title,Never miss the action,lib/localization/demo_localization.dart,"Not directly used in code, likely intended as the title for push notifications."
notification_body,"Live scores, breaking news, match highlights, and new podcasts — right when it happens.",lib/localization/demo_localization.dart,"Not directly used in code, likely intended as the body for push notifications."
notification_enable,Turn on notifications,lib/localization/demo_localization.dart,"Not directly used in code, likely intended as a label for enabling notifications."
notification_not_now,Not now,lib/localization/demo_localization.dart,"Not directly used in code, likely intended as a label for declining notifications."
no_h2h_found,No Head-to-Head matches found,lib/localization/demo_localization.dart,"Used as a message in `demo_localization.dart` to indicate that no head-to-head matches were found."
penalty_cancelled,,lib/widgets/match_detail/homeandawayTeamScore.dart,"Used in `homeandawayTeamScore.dart` to indicate a cancelled penalty during a match."
off_the_ball_foul,,lib/widgets/match_detail/homeandawayTeamScore.dart,"Used in `homeandawayTeamScore.dart` to describe an off-the-ball foul during a match."
spitting,,lib/widgets/match_detail/homeandawayTeamScore.dart,"Used in `homeandawayTeamScore.dart` to describe a spitting incident during a match."
biting,,lib/widgets/match_detail/homeandawayTeamScore.dart,"Used in `homeandawayTeamScore.dart` to describe a biting incident during a match."
elbowing,,lib/widgets/match_detail/homeandawayTeamScore.dart,"Used in `homeandawayTeamScore.dart` to describe an elbowing incident during a match."
pleaseWait,Please wait...,lib/localization/demo_localization.dart,"Used in `demo_localization.dart` as a loading message."
abusive_language,,lib/widgets/match_detail/homeandawayTeamScore.dart,"Used in `homeandawayTeamScore.dart` to describe an abusive language incident during a match."
retaliation,,lib/widgets/match_detail/homeandawayTeamScore.dart,"Used in `homeandawayTeamScore.dart` to describe a retaliation incident during a match."
offside,,lib/widgets/match_detail/homeandawayTeamScore.dart,"Used in `homeandawayTeamScore.dart` to indicate an offside during a match."
dangerous_play,,lib/widgets/match_detail/homeandawayTeamScore.dart,"Used in `homeandawayTeamScore.dart` to describe dangerous play during a match."
obstruction,,lib/widgets/match_detail/homeandawayTeamScore.dart,"Used in `homeandawayTeamScore.dart` to describe an obstruction during a match."
var_review,,lib/widgets/match_detail/homeandawayTeamScore.dart,"Used in `homeandawayTeamScore.dart` to indicate a VAR review during a match."
unsportsmanlike_conduct,,lib/widgets/match_detail/homeandawayTeamScore.dart,"Used in `homeandawayTeamScore.dart` to describe unsportsmanlike conduct during a match."
penalty_awarded,,lib/widgets/match_detail/homeandawayTeamScore.dart,"Used in `homeandawayTeamScore.dart` to indicate a penalty awarded during a match."
goal_disallowed,,lib/widgets/match_detail/homeandawayTeamScore.dart,"Used in `homeandawayTeamScore.dart` to indicate a goal disallowed during a match."
professional_foul_last_man,,lib/widgets/match_detail/homeandawayTeamScore.dart,"Used in `homeandawayTeamScore.dart` to describe a professional foul by the last man during a match."
holding,,lib/widgets/match_detail/homeandawayTeamScore.dart,"Used in `homeandawayTeamScore.dart` to describe a holding incident during a match."
failedToScore,,lib/localization/demo_localization.dart,"Not directly used in code, likely intended for future use to display a message when a team fails to score."
